"Lastname","Nation","Sherpa","Gender","Y"
"Hillary","NZ","","m","1953"
"Tenzing Norgay (B Namgyal Wangdu)","IND","","m","1953"
"Marmet","CH","","m","1956"
"Schmied","CH","","m","1956"
"Reist","CH","","m","1956"
"Von Gunten","CH","","m","1956"
"Chu","CHN","","m","1960"
"Konbu","CHN","","m","1960"
"Wang","CHN","","m","1960"
"Nawang Gombu","IND","Sherpa","m","1963"
"Whittaker","USA","","m","1963"
"Bishop","USA","","m","1963"
"Hornbein","USA","","m","1963"
"Jerstad","USA","","m","1963"
"Unsoeld","USA","","m","1963"
"Cheema","IND","","m","1965"
"Nawang Gombu","IND","Sherpa","m","1965"
"Sonam Gyatso","IND","","m","1965"
"Sonam Wangyal","IND","","m","1965"
"Ang Kami I","IND","Sherpa","m","1965"
"Vohra","IND","","m","1965"
"Ahluwalia","IND","","m","1965"
"Phu Dorje I","NEP","Sherpa","m","1965"
"Rawat","IND","","m","1965"
"Matsuura","JAP","","m","1970"
"Uemura","JAP","","m","1970"
"Chotare","NEP","Sherpa","m","1970"
"Hirabayashi","JAP","","m","1970"
"Carrel","ITA","","m","1973"
"Lhakpa Tenzing I","NEP","Sherpa","m","1973"
"Minuzzo","ITA","","m","1973"
"Shambu Tamang","NEP","","m","1973"
"Benedetti","ITA","","m","1973"
"Epis","ITA","","m","1973"
"Innamorati","ITA","","m","1973"
"Sonam Gyalzen","NEP","Sherpa","m","1973"
"Ishiguro","JAP","","m","1973"
"Kato","JAP","","m","1973"
"Ang Tshering I","NEP","Sherpa","m","1975"
"Tabei (B Ishibashi)","JAP","","f","1975"
"Darphuntso","CHN","","m","1975"
"Hou","CHN","","m","1975"
"Kunga Pasang","CHN","","m","1975"
"Lotse","CHN","","m","1975"
"Ngapo Khyen","CHN","","m","1975"
"Phantog","CHN","","f","1975"
"Samdrub","CHN","","m","1975"
"Sodnam Norbu","CHN","","m","1975"
"Tsering Tobgyal","CHN","","m","1975"
"Haston","UK","","m","1975"
"Scott","UK","","m","1975"
"Boardman","UK","","m","1975"
"Pertemba","NEP","Sherpa","m","1975"
"Lane","UK","","m","1976"
"Stokes","UK","","m","1976"
"Chandler","USA","","m","1976"
"Cormack","USA","","m","1976"
"Ko","SK","","m","1977"
"Pemba Norbu (Pemba Nurbu) I","NEP","Sherpa","m","1977"
"Ang Phu","NEP","Sherpa","m","1978"
"Bergmann","A","","m","1978"
"Nairz","A","","m","1978"
"Schauer","A","","m","1978"
"Habeler","A","","m","1978"
"Messner","ITA","","m","1978"
"Karl","GER","","m","1978"
"Oelz","A","","m","1978"
"Oppurg","A","","m","1978"
"Engl","GER","","m","1978"
"Hillmaier","GER","","m","1978"
"Mack","GER","","m","1978"
"Afanassieff","F","","m","1978"
"Diemberger","A","","m","1978"
"Jaeger","F","","m","1978"
"Mazeaud","F","","m","1978"
"Allenbach","CH","","m","1978"
"Ang Dorje I","NEP","Sherpa","m","1978"
"Ang Kami Ii","NEP","Sherpa","m","1978"
"Hupfauer","GER","","m","1978"
"Klimek","GER","","m","1978"
"Mingma Nuru I","NEP","Sherpa","m","1978"
"Rutkiewicz (B Błaszkiewicz)","POL","","f","1978"
"Kullmann","GER","","m","1978"
"Ritter","GER","","m","1978"
"Štremfelj","SLO","","m","1979"
"Zaplotnik","SLO","","m","1979"
"Ang Phu","NEP","Sherpa","m","1979"
"Belak","SLO","","m","1979"
"Božić","CRO","","m","1979"
"Lhakpa Gyalzen I (Lhakpa Gyalu)","NEP","Sherpa","m","1979"
"Pertemba","NEP","Sherpa","m","1979"
"Schmatz","GER","","m","1979"
"Von Känel","CH","","m","1979"
"Warth","GER","","m","1979"
"Ang Jangbu I","NEP","Sherpa","m","1979"
"Ang Phurba I","NEP","Sherpa","m","1979"
"Banks","NZ","","m","1979"
"Fischbach","GER","","m","1979"
"Genet","USA","","m","1979"
"Kämpfe","GER","","m","1979"
"Schmatz (B Ledermann)","GER","","f","1979"
"Sungdare","NEP","Sherpa","m","1979"
"Cichy","POL","","m","1980"
"Wielicki","POL","","m","1980"
"Kato","JAP","","m","1980"
"Ozaki","JAP","","m","1980"
"Shigehiro","JAP","","m","1980"
"Pasang Temba I","NEP","Sherpa","m","1980"
"Zabaleta","E","","m","1980"
"Czok","POL","","m","1980"
"Kukuczka","POL","","m","1980"
"Messner","ITA","","m","1980"
"Kopczynski","USA","","m","1981"
"Sungdare","NEP","Sherpa","m","1981"
"Hackett","USA","","m","1981"
"Pizzo","USA","","m","1981"
"Young Tenzing (Yong Tenzing)","NEP","Sherpa","m","1981"
"Balyberdin","RUS","","m","1982"
"Bershov","UKR","","m","1982"
"Myslovsky","RUS","","m","1982"
"Turkevich","UKR","","m","1982"
"Efimov","RUS","","m","1982"
"Ivanov","RUS","","m","1982"
"Khrishchaty","KAZ","","m","1982"
"Valiev","KAZ","","m","1982"
"Golodov","KAZ","","m","1982"
"Khomutov","RUS","","m","1982"
"Puchkov","RUS","","m","1982"
"Lhakpa Dorje I","NEP","Sherpa","m","1982"
"Skreslet","CAN","","m","1982"
"Sungdare","NEP","Sherpa","m","1982"
"Lhakpa Tshering I","NEP","Sherpa","m","1982"
"Morrow","CAN","","m","1982"
"Pema Dorje I","NEP","Sherpa","m","1982"
"Kato","JAP","","m","1982"
"Ang Rita","NEP","Sherpa","m","1983"
