"ID","Lastname","Gender","Sherpa","Nation","Year","Reason"
"1","Norbu","m","Sherpa","IND","1922","Avalanche"
"2","Lhakpa","m","Sherpa","IND","1922","Avalanche"
"3","Pasang","m","Sherpa","IND","1922","Avalanche"
"4","Pema","m","Sherpa","IND","1922","Avalanche"
"5","Sange","m","Sherpa","IND","1922","Avalanche"
"6","Dorje","m","Sherpa","IND","1922","Avalanche"
"7","Temba","m","Sherpa","IND","1922","Avalanche"
"8","Shamsher Pun","m","","NEP","1924","Exposure"
"9","Man Bahadur","m","","NEP","1924","Exposure"
"10","Mallory","m","","UK","1924","Fall"
"11","Irvine","m","","UK","1924","other"
"12","Wilson","m","","UK","1934","Exposure"
"13","Mingma Dorje","m","Sherpa","NEP","1952","Avalanche"
"14","Wang","m","","CHN","1960","other"
"15","Shou (Shao)","m","","CHN","1960","other"
"16","Nawang Tshering","m","Sherpa","NEP","1962","Avalanche"
"17","Breitenbach","m","","USA","1963","Avalanche"
"18","Ma","m","","CHN","1966","Fall"
"19","Phu Dorje I","m","Sherpa","NEP","1969","other"
"20","Nima Norbu (I)","m","Sherpa","NEP","1970","Avalanche"
"21","Nima Dorje (I)","m","Sherpa","NEP","1970","Avalanche"
"22","Tshering Tarke","m","Sherpa","NEP","1970","Avalanche"
"23","Pasang","m","Sherpa","NEP","1970","Avalanche"
"24","Kunga Norbu","m","Sherpa","NEP","1970","Avalanche"
"25","Kami Tshering","m","Sherpa","NEP","1970","Avalanche"
"26","Kyak Tshering","m","Sherpa","NEP","1970","Avalanche"
"27","Narita","m","","JAP","1970","other"
"28","Bahuguna","m","","IND","1971","Exposure"
"29","Tighe","m","","AUS","1972","Avalanche"
"30","Zangbu (I)","m","Sherpa","NEP","1973","Avalanche"
"31","Devouassoux","m","","F","1974","Avalanche"
"32","Lhakpa","m","Sherpa","NEP","1974","Avalanche"
"33","Nawang Lotuk","m","Sherpa","NEP","1974","Avalanche"
"34","Pemba Dorje","m","Sherpa","NEP","1974","Avalanche"
"35","Sanu Wangel","m","Sherpa","NEP","1974","Avalanche"
"36","Nima Wangchu","m","Sherpa","NEP","1974","Avalanche"
"37","Wu","m","","CHN","1975","Fall"
"38","Burke","m","","UK","1975","Fall"
"39","Thompson","m","","UK","1976","Fall"
"40","Dawa Nuru","m","Sherpa","NEP","1978","Fall"
"41","Shi","m","","CHN","1978","other"
"42","Ang Phu","m","Sherpa","NEP","1979","Fall"
"43","Genet","m","","USA","1979","other"
"44","Schmatz","f","","GER","1979","other"
"45","Wang","m","","CHN","1979","Avalanche"
"46","Lou (Luo)","m","","CHN","1979","Avalanche"
