"Lastname","Gender","Sherpa","Nation","Year","Reason"
"Norbu","m","Sherpa","IND","1922","Avalanche"
"Lhakpa","m","Sherpa","IND","1922","Avalanche"
"Pasang","m","Sherpa","IND","1922","Avalanche"
"Pema","m","Sherpa","IND","1922","Avalanche"
"Sange","m","Sherpa","IND","1922","Avalanche"
"Dorje","m","Sherpa","IND","1922","Avalanche"
"Temba","m","Sherpa","IND","1922","Avalanche"
"Shamsher Pun","m","","NEP","1924","Exposure"
"Man Bahadur","m","","NEP","1924","Exposure"
"Mallory","m","","UK","1924","Fall"
"Irvine","m","","UK","1924","other"
"Wilson","m","","UK","1934","Exposure"
"Mingma Dorje","m","Sherpa","NEP","1952","Avalanche"
"Hillary","m","","NZ","1953",""
"Tenzing Norgay (B Namgyal Wangdu)","m","","IND","1953",""
"Marmet","m","","CH","1956",""
"Schmied","m","","CH","1956",""
"Reist","m","","CH","1956",""
"Von Gunten","m","","CH","1956",""
"Wang","m","","CHN","1960","other"
"Shou (Shao)","m","","CHN","1960","other"
"Chu","m","","CHN","1960",""
"Konbu","m","","CHN","1960",""
"Wang","m","","CHN","1960",""
"Nawang Tshering","m","Sherpa","NEP","1962","Avalanche"
"Breitenbach","m","","USA","1963","Avalanche"
"Nawang Gombu","m","Sherpa","IND","1963",""
"Whittaker","m","","USA","1963",""
"Bishop","m","","USA","1963",""
"Hornbein","m","","USA","1963",""
"Jerstad","m","","USA","1963",""
"Unsoeld","m","","USA","1963",""
"Cheema","m","","IND","1965",""
"Nawang Gombu","m","Sherpa","IND","1965",""
"Sonam Gyatso","m","","IND","1965",""
"Sonam Wangyal","m","","IND","1965",""
"Ang Kami I","m","Sherpa","IND","1965",""
"Vohra","m","","IND","1965",""
"Ahluwalia","m","","IND","1965",""
"Phu Dorje I","m","Sherpa","NEP","1965",""
"Rawat","m","","IND","1965",""
"Ma","m","","CHN","1966","Fall"
"Phu Dorje I","m","Sherpa","NEP","1969","other"
"Nima Norbu (I)","m","Sherpa","NEP","1970","Avalanche"
"Nima Dorje (I)","m","Sherpa","NEP","1970","Avalanche"
"Tshering Tarke","m","Sherpa","NEP","1970","Avalanche"
"Pasang","m","Sherpa","NEP","1970","Avalanche"
"Kunga Norbu","m","Sherpa","NEP","1970","Avalanche"
"Kami Tshering","m","Sherpa","NEP","1970","Avalanche"
"Kyak Tshering","m","Sherpa","NEP","1970","Avalanche"
"Narita","m","","JAP","1970","other"
"Matsuura","m","","JAP","1970",""
"Uemura","m","","JAP","1970",""
"Chotare","m","Sherpa","NEP","1970",""
"Hirabayashi","m","","JAP","1970",""
"Bahuguna","m","","IND","1971","Exposure"
"Tighe","m","","AUS","1972","Avalanche"
"Zangbu (I)","m","Sherpa","NEP","1973","Avalanche"
"Carrel","m","","ITA","1973",""
"Lhakpa Tenzing I","m","Sherpa","NEP","1973",""
"Minuzzo","m","","ITA","1973",""
"Shambu Tamang","m","","NEP","1973",""
"Benedetti","m","","ITA","1973",""
"Epis","m","","ITA","1973",""
"Innamorati","m","","ITA","1973",""
"Sonam Gyalzen","m","Sherpa","NEP","1973",""
"Ishiguro","m","","JAP","1973",""
"Kato","m","","JAP","1973",""
"Devouassoux","m","","F","1974","Avalanche"
"Lhakpa","m","Sherpa","NEP","1974","Avalanche"
"Nawang Lotuk","m","Sherpa","NEP","1974","Avalanche"
"Pemba Dorje","m","Sherpa","NEP","1974","Avalanche"
"Sanu Wangel","m","Sherpa","NEP","1974","Avalanche"
"Nima Wangchu","m","Sherpa","NEP","1974","Avalanche"
"Wu","m","","CHN","1975","Fall"
"Burke","m","","UK","1975","Fall"
"Ang Tshering I","m","Sherpa","NEP","1975",""
"Tabei (B Ishibashi)","f","","JAP","1975",""
"Darphuntso","m","","CHN","1975",""
"Hou","m","","CHN","1975",""
"Kunga Pasang","m","","CHN","1975",""
"Lotse","m","","CHN","1975",""
"Ngapo Khyen","m","","CHN","1975",""
"Phantog","f","","CHN","1975",""
"Samdrub","m","","CHN","1975",""
"Sodnam Norbu","m","","CHN","1975",""
"Tsering Tobgyal","m","","CHN","1975",""
"Haston","m","","UK","1975",""
"Scott","m","","UK","1975",""
"Boardman","m","","UK","1975",""
"Pertemba","m","Sherpa","NEP","1975",""
"Thompson","m","","UK","1976","Fall"
"Lane","m","","UK","1976",""
"Stokes","m","","UK","1976",""
"Chandler","m","","USA","1976",""
"Cormack","m","","USA","1976",""
"Ko","m","","SK","1977",""
"Pemba Norbu (Pemba Nurbu) I","m","Sherpa","NEP","1977",""
"Dawa Nuru","m","Sherpa","NEP","1978","Fall"
"Shi","m","","CHN","1978","other"
"Ang Phu","m","Sherpa","NEP","1978",""
"Bergmann","m","","A","1978",""
"Nairz","m","","A","1978",""
"Schauer","m","","A","1978",""
"Habeler","m","","A","1978",""
"Messner","m","","ITA","1978",""
"Karl","m","","GER","1978",""
"Oelz","m","","A","1978",""
"Oppurg","m","","A","1978",""
"Engl","m","","GER","1978",""
"Hillmaier","m","","GER","1978",""
"Mack","m","","GER","1978",""
"Afanassieff","m","","F","1978",""
"Diemberger","m","","A","1978",""
"Jaeger","m","","F","1978",""
"Mazeaud","m","","F","1978",""
"Allenbach","m","","CH","1978",""
"Ang Dorje I","m","Sherpa","NEP","1978",""
"Ang Kami Ii","m","Sherpa","NEP","1978",""
"Hupfauer","m","","GER","1978",""
"Klimek","m","","GER","1978",""
"Mingma Nuru I","m","Sherpa","NEP","1978",""
"Rutkiewicz (B Błaszkiewicz)","f","","POL","1978",""
"Kullmann","m","","GER","1978",""
"Ritter","m","","GER","1978",""
"Ang Phu","m","Sherpa","NEP","1979","Fall"
"Genet","m","","USA","1979","other"
"Schmatz","f","","GER","1979","other"
"Wang","m","","CHN","1979","Avalanche"
"Lou (Luo)","m","","CHN","1979","Avalanche"
"Nima Thaxi (Nima Tashi)","m","","CHN","1979","Avalanche"
"Štremfelj","m","","SLO","1979",""
"Zaplotnik","m","","SLO","1979",""
"Ang Phu","m","Sherpa","NEP","1979",""
"Belak","m","","SLO","1979",""
"Božić","m","","CRO","1979",""
"Lhakpa Gyalzen I (Lhakpa Gyalu)","m","Sherpa","NEP","1979",""
"Pertemba","m","Sherpa","NEP","1979",""
"Schmatz","m","","GER","1979",""
"Von Känel","m","","CH","1979",""
"Warth","m","","GER","1979",""
"Ang Jangbu I","m","Sherpa","NEP","1979",""
"Ang Phurba I","m","Sherpa","NEP","1979",""
"Banks","m","","NZ","1979",""
"Fischbach","m","","GER","1979",""
"Genet","m","","USA","1979",""
"Kämpfe","m","","GER","1979",""
"Schmatz (B Ledermann)","f","","GER","1979",""
"Sungdare","m","Sherpa","NEP","1979",""
"Ube","m","","JAP","1980","Avalanche"
"Nawang Kersang","m","Sherpa","NEP","1980","Fall"
"Piana","m","","ITA","1980","Avalanche"
"Cichy","m","","POL","1980",""
"Wielicki","m","","POL","1980",""
"Kato","m","","JAP","1980",""
"Ozaki","m","","JAP","1980",""
"Shigehiro","m","","JAP","1980",""
"Pasang Temba I","m","Sherpa","NEP","1980",""
"Zabaleta","m","","E","1980",""
